Ingreso,"Título","Jurisdicción","Departamento"
2024/11/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/02/28,"ASOCIADO A VD","COMISARÍA 2","SALTO"
2024/03/07,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/04/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/09/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/02/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/03/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MALDONADO"
2024/07/04,"ASOCIADO A VD","COMISARÍA 3","SORIANO"
2024/04/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MONTEVIDEO"
2024/01/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/08/14,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/10/14,"ASOCIADO A VD","COMISARÍA 16","MONTEVIDEO"
2024/01/16,"ASOCIADO A VD","COMISARÍA 21","MONTEVIDEO"
2024/11/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","ARTIGAS"
2024/01/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/01/07,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/03/26,"ASOCIADO A VD","COMISARÍA 21","MONTEVIDEO"
2024/02/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MONTEVIDEO"
2024/10/28,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MONTEVIDEO"
2024/01/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/02/01,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/10/31,"ASOCIADO A VD","COMISARÍA 1","FLORIDA"
2024/04/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MONTEVIDEO"
2024/08/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","COLONIA"
2024/12/04,"ASOCIADO A VD","COMISARÍA 17","MONTEVIDEO"
2024/02/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/11/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/02/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","ROCHA"
2024/02/01,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","CANELONES"
2024/11/14,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","RIVERA"
2024/01/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/11/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","RÍO NEGRO"
2024/01/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/02/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","SAN JOSÉ"
2024/01/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/01/17,"ASOCIADO A VD","COMISARÍA 2","CERRO LARGO"
2024/01/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/03/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","MONTEVIDEO"
2024/02/22,"ASOCIADO A VD","COMISARÍA 1","LAVALLEJA"
2024/01/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","CERRO LARGO"
2024/02/13,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","CANELONES"
2024/11/28,"ASOCIADO A VD","COMISARÍA 3","RÍO NEGRO"
2024/02/07,"ASOCIADO A VD","COMISARÍA 25","MONTEVIDEO"
2024/01/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","MONTEVIDEO"
2024/02/01,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MONTEVIDEO"
2024/12/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MONTEVIDEO"
2024/02/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MALDONADO"
2024/01/28,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","MONTEVIDEO"
2024/01/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","LAVALLEJA"
2024/05/14,"VIOLENCIA DOMÉSTICA","COMISARÍA 29","CANELONES"
2024/02/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/02/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","MALDONADO"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/03/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","TACUAREMBÓ"
2024/02/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","MONTEVIDEO"
2024/02/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","MONTEVIDEO"
2024/03/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/06/06,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/02/07,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/12/06,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/01/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/01/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
